number,long,short,speak
7530,"OSCAR 7 (AO-7)",AO-7,"A O 7"
14129,"PHASE 3B (AO-10)",AO-10,"A O 10"
14781,"UOSAT 2 (UO-11)",UO-11,"U O 11"
20439,"PACSAT (AO-16) ",AO-16,"A O 16"
20442,"LUSAT (LO-19) ",LO-19,"L O 19"
22825,"EYESAT-1 (AO-27) ",AO-27,"A O 27"
22826,"ITAMSAT (IO-26) ",IO-26,"I O 26"
23439,"RADIO ROSTO (RS-15)",RS-15,"R S 15"
24278,"JAS-2 (FO-29) ",FO-29,"F O 29"
24883,"ORBVIEW 2 (SEASTAR)",SEASTAR,
24932,"METEOSAT-7  ","METSAT-7  ",
25338,"NOAA 15 ","NOAA 15 ",
25397,"TECHSAT 1B (GO-32)",GO-32,"G O 32"
25509,"SEDSAT 1 (SO-33)",SO-33,"S O 33"
25544,"ISS (ZARYA) ",ISS,"I S S"
26536,"NOAA 16 ","NOAA 16 ",
26871,"GOES 12 ","GOES 12 ",
26931,"PCSAT (NO-44) ",NO-44,"N O 44"
27431,"FENGYUN 1D ","FENGYUN 1D ",
27453,"NOAA 17 ","NOAA 17 ",
27509,"METEOSAT-8 (MSG-1) ",METSAT-8,
27525,"KALPANA-1 (METSAT 1)","METSAT 1",
27607,"SAUDISAT 1C (SO-50)",SO-50,"S O 50"
27714,"INSAT-3A  ","INSAT-3A  ",
27844,"CUTE-1 (CO-55) ",CO-55,"C O 55"
27848,"CUBESAT XI-IV (CO-57)",CO-57,"C O 57"
27939,"MOZHAYETS 4 (RS-22)",RS-22,"R S 22"
28375,"ECHO (AO-51) ",AO-51,"A O 51"
28451,"FENGYUN 2C ","FENGYUN 2C ",
28622,"HIMAWARI-6 (MTSAT-1R) ",MTSAT-1R,
28650,"HAMSAT (VO-52) ",VO-52,"V O 52"
28654,"NOAA 18 ","NOAA 18 ",
28895,"CUBESAT XI-V (CO-58)",CO-58,"C O 58"
28912,"METEOSAT-9 (MSG-2) ",MSG-2,
28937,"MTSAT-2  ","MTSAT-2  ",
29047,"FORMOSAT-3 FM6 ","FM6 ",
29048,"FORMOSAT-3 FM1 ","FM1 ",
29049,"FORMOSAT-3 FM5 ","FM5 ",
29050,"FORMOSAT-3 FM3 ","FM3 ",
29051,"FORMOSAT-3 FM4 ","FM4 ",
29052,"FORMOSAT-3 FM2 ","FM2 ",
29155,"GOES 13 ","GOES 13 ",
29499,"METOP-A  ","METOP-A  ",
29640,"FENGYUN 2D ","FENGYUN 2D ",
32785,"CUTE-1.7+APD II (CO-65)",CO-65,"C O 65"
32789,"DELFI-C3 (DO-64) ",DO-64,"D O 64"
32953,"YUBILEINY (RS-30) ",RS-30,"R S 30"
32958,"FENGYUN 3A ","FENGYUN 3A ",
33463,"FENGYUN 2E ","FENGYUN 2E ",
33493,"PRISM  ","PRISM  ",PRISM
33498,"STARS  ","STARS  ",STARS
33499,"KKS-1  ","KKS-1  ","K K S 1"
33591,"NOAA 19 ","NOAA 19 ",
35491,"GOES 14 ","GOES 14 ",
35865,"METEOR-M 1 ","METEOR-M 1 ",
35932,"SWISSCUBE  ","SWISSCUBE  ","SWISS CUBE"
35933,"BEESAT  ","BEESAT  ","B SAT"
35935,"ITUPSAT1  ","ITUPSAT1  ","I T UP 1"
36122,"HOPE-1 (HO-68) ",HO-68,"H O 68"
36411,"GOES 15 ","GOES 15 ",
36744,"COMS 1 ","COMS 1 ",
37214,"FENGYUN 3B ","FENGYUN 3B ",
37344,"ELEKTRO-L 1 (GOMS","ELEKTRO-L 1 (GOMS",
37839,"JUGNU  ","JUGNU  ","JUG NEW"
37841,"SRMSAT  ","SRMSAT  ","S R M SAT"
37849,"SUOMI NPP ","SUOMI NPP ",
37853,"RAX-2  ","RAX-2  ","RAX 2"
37854,"AUBIESAT-1 (AO-71) ",AO-71,"A O 71"
37855,"M-CUBED & EXP-1",M-CUBED,"M CUBED"
38049,"FENGYUN 2F ","FENGYUN 2F ",
38051,"CHIBIS-M (RS-39) ",RS-39,"R S 39"
38552,"METEOSAT-10 (MSG-3) ",MSG-3,
38771,"METOP-B  ","METOP-B  ",
39260,"FENGYUN 3C ","FENGYUN 3C ",
39445,"FUNCUBE-1 (AO-73)",AO-73,"A O 73"
